name,tag1,synonym,tag2
Koidu tänav,loc,,
Kooli tänav,loc,,
Kuke tänav,loc,,
Kuu tänav,loc,,
Kuusiku tänav,loc,,
Küüni tänav,loc,,
Laane tänav,loc,,
Lai tänav,loc,,
Lasketiiru tänav,loc,,
Lehtse tee,loc,,
Leina tänav,loc,,
Lembitu puiestee,loc,,
Lepiku tänav,loc,,
Liblika tänav,loc,,
Lille tänav,loc,,
Linda tänav,loc,,
Loode tänav,loc,,
Maie tänav,loc,,
Malle tänav,loc,,
Metsa tänav,loc,,
Metsa põik,loc,,
Männiku tänav,loc,,
Nooruse tänav,loc,,
Paide maantee,loc,,
Paju tänav,loc,,
Pargi tänav,loc,,
Pargi põik,loc,,
Piiri tänav,loc,,
Pikk tänav,loc,,
Päikese tänav,loc,,
Pääsukese tänav,loc,,
Põllu tänav,loc,,
Rahu tänav,loc,,
Rakvere tee,loc,,
Rauakõrve tee,loc,,
Ristiku tänav,loc,,
Roheline tänav,loc,,
Rooba tänav,loc,,
Sauna tänav,loc,,
Side tänav,loc,,
Spordi tänav,loc,,
Sügise tänav,loc,,
Petseri tänav,loc,,
Pihlaka tänav,loc,,
Piiri tänav,loc,,
Pikk tänav,loc,,
Puiestee tänav,loc,,
Puu tänav,loc,,
Pärna puiestee,loc,,
Pärnu tänav,loc,,
Põhja tänav,loc,,
Põllu tänav,loc,,
Rahu tänav,loc,,
Raja tänav,loc,,
Raudtee tänav,loc,,
Ravila tänav,loc,,
Riia tänav,loc,,
Roheline tänav,loc,,
Roosi tänav,loc,,
Räni tänav,loc,,
Rükkeli tänav,loc,,
Saare tänav,loc,,
Savi tänav,loc,,
Saviaugu tänav,loc,,
Sepa tänav,loc,,
Siguri tänav,loc,,
Soo tänav,loc,,
Spordi tänav,loc,,
Sulevi tänav,loc,,
Suve tänav,loc,,
Sõpruse tänav,loc,,
Sügise tänav,loc,,
Talve tänav,loc,,
Tartu tänav,loc,,
Tehase tänav,loc,,
Tehnika tänav,loc,,
Telliskivi tänav,loc,,
Tiigi tänav,loc,,
Tolli tänav,loc,,
Toogi tänav,loc,,
Toogi põik,loc,,
Torni tänav,loc,,
Transpordi tänav,loc,,
Tulbi tänav,loc,,
Turu tänav,loc,,
Tuubi tänav,loc,,
Tuule tänav,loc,,
Tähe tänav,loc,,
Tõrva tänav,loc,,
Tööstuse tänav,loc,,
Uus tänav,loc,,
Uus-Koidu tänav,loc,,
Vabaduse tänav,loc,,
Vahe tänav,loc,,
Vahtra tänav,loc,,
Vaikne tänav,loc,,
Vainu tänav,loc,,
Valli tänav,loc,,
Vee tänav,loc,,
Veski tänav,loc,,
Viadukti tänav,loc,,
Viljandi tänav,loc,,
Väike-Köie tänav,loc,,
Väike-Laatsi tänav,loc,,
Väike-Lepa tänav,loc,,
Välja tänav,loc,,
Võnnu tänav,loc,,
Võru tänav,loc,,
Õhtu tänav,loc,,
Ilmajaama tänav,loc,,
Loode tänav,loc,,
Abaja tänav,loc,,
Aia tänav,loc,,
Allee tänav,loc,,
Anton Lutsu tänav,loc,,
Arhiivi tänav,loc,,
August Kitzbergi tänav,loc,,
Eha tänav,loc,,
Garnisoni tänav,loc,,
Haigla tänav,loc,,
Hariduse tänav,loc,,
Heina tänav,loc,,
Humala tänav,loc,,
Ida tänav,loc,,
Jaama tänav,loc,,
Juhan Smuuli tänav,loc,,
Jõe tänav,loc,,
Kaare tänav,loc,,
Kadaka tänav,loc,,
Kaevu tänav,loc,,
Kalda puiestee,loc,,
Kalevi tänav,loc,,
Kalevi põik,loc,,
Jalaka tänav,loc,,
Jalakakuru tänav,loc,,
Kruusamäe tänav,loc,,
Jaama plats,loc,,
Jõe tänav,loc,,
Kannikese tänav,loc,,
Karl Ernst von Baeri tänav,loc,,
Koidu tänav,loc,,
Kooli tänav,loc,,
Meierei tänav,loc,,
Mooni tänav,loc,,
Mängu tänav,loc,,
Nelgi tänav,loc,,
Nurme tänav,loc,,
Pae tänav,loc,,
Heina tänav,loc,,
Paju tänav,loc,,
Pargi tänav,loc,,
Mooni tänav,loc,,
Põllu tänav,loc,,
Nelgi tänav,loc,,
Raudtee tänav,loc,,
